,Name,Last,High,Low,Chg.,Chg. %,Time
,Dow Jones,"38,647.10","38,712.21","38,407.70",-65.11,-0.17%,13/06
,S&P 500 derived,"5,433.74","5,441.93","5,402.51",+12.71,+0.23%,13/06
,Nasdaq,"17,665.90","17,741.80","17,566.32",+57.47,+0.33%,13/06
,Small Cap 2000 derived,"2,038.91","2,053.57","2,025.64",-18.19,-0.88%,13/06
,S&P 500 VIX derived,12.74,13.45,11.94,+0.80,+6.70%,08:38:16
,S&P/TSX,"21,698.11","21,930.76","21,680.06",-263.44,-1.20%,13/06
,Bovespa,"119,777","120,222","119,171",-159,-0.13%,13/06
,S&P/BMV IPC,"52,275.65","53,072.21","52,209.61",-700.24,-1.32%,13/06
,MSCI World,"3,494.78","3,503.47","3,492.69",-9.69,-0.28%,08:40:00
,DAX derived,"18,050.85","18,307.75","17,980.75",-213.09,-1.17%,08:40:29
,FTSE 100 derived,"8,162.64","8,178.76","8,112.81",-1.03,-0.01%,08:40:20
,CAC 40,"7,540.82","7,686.89","7,497.97",-167.20,-2.17%,08:40:15
,Euro Stoxx 50 derived,"4,856.85","4,939.75","4,832.35",-78.65,-1.59%,08:40:23
,AEX,920.39,929.39,916.05,-4.22,-0.46%,08:40:15
,IBEX 35 derived,"10,959.50","11,067.50","10,867.50",-106.60,-0.96%,08:40:13
,FTSE MIB derived,"32,711.00","33,597.00","32,586.00",-898.85,-2.67%,08:40:20
,SMI derived,"12,069.90","12,119.41","11,981.80",-19.05,-0.16%,08:40:23
,PSI,"6,527.59","6,574.79","6,508.92",-38.15,-0.58%,08:40:00
,BEL 20 derived,"3,837.20","3,867.90","3,814.80",-33.50,-0.87%,08:40:30
,ATX,"3,551.97","3,604.30","3,542.68",-51.93,-1.44%,08:24:00
,OMXS30,"2,570.30","2,592.43","2,555.35",-16.82,-0.65%,08:40:12
,OMXC25,"1,980.19","1,993.95","1,964.24",-5.04,-0.25%,08:39:57
,MOEX,"3,186.53","3,192.13","3,160.17",+14.84,+0.47%,08:40:23
,RTSI,"1,138.08","1,140.02","1,128.61",+5.36,+0.47%,08:40:18
,WIG20,"2,402.29","2,412.53","2,383.98",+0.66,+0.03%,08:40:00
,Budapest SE,"70,022.97","70,697.80","70,007.25",-214.85,-0.31%,13/06
,BIST 100,"10,438.92","10,575.98","10,403.73",+47.03,+0.45%,08:25:31
,TA 35,"1,987.86","1,993.29","1,977.43",+9.23,+0.47%,13/06
,Tadawul All Share,"11,498.93","11,691.19","11,498.93",-152.88,-1.31%,13/06
,Nikkei 225 derived,"38,854.50","39,035.00","38,551.00",+141.00,+0.36%,01:59:58
,S&P/ASX 200,"7,724.30","7,751.80","7,718.00",-25.40,-0.33%,02:04:59
,DJ New Zealand,332.10,332.83,331.37,+0.02,+0.01%,01:39:56
,Shanghai,"3,032.63","3,037.90","3,011.58",+3.71,+0.12%,03:59:35
,SZSE Component,"9,252.25","9,265.97","9,138.32",+46.01,+0.50%,03:44:27
,China A50,"12,273.06","12,305.00","12,096.97",+59.76,+0.49%,03:00:00
,DJ Shanghai,414.17,414.85,410.88,+0.83,+0.20%,03:55:00
,Hang Seng derived,"17,941.78","18,109.89","17,927.16",-170.85,-0.94%,04:08:30
,Taiwan Weighted,"22,504.72","22,504.72","22,252.02",+192.68,+0.86%,01:00:00
,SET,"1,306.56","1,315.70","1,304.31",-5.22,-0.40%,06:03:00
,KOSPI,"2,758.36","2,769.16","2,750.86",+3.47,+0.13%,02:32:30
,IDX Composite,"6,745.57","6,840.20","6,725.01",-86.00,-1.26%,03:59:58
,Nifty 50,"23,465.60","23,490.40","23,334.25",+66.70,+0.29%,06:01:47
,BSE Sensex,"76,992.77","77,081.30","76,549.05",+181.87,+0.24%,06:01:58
,PSEi Composite,"6,383.70","6,400.34","6,370.68",-7.13,-0.11%,02:50:00
,Karachi 100,"76,737.05","77,310.45","76,135.05",+528.89,+0.69%,07:29:45
,VN 30,"1,316.46","1,338.59","1,316.46",-17.39,-1.30%,04:02:04
,CSE All-Share,"12,365.82","12,422.53","12,351.13",-25.04,-0.20%,13/06
