,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time
,Tesla,182.55,191.05,181.28,+5.26,+2.97%,110.73M,13/06
,NVIDIA,129.61,129.80,127.16,+4.41,+3.52%,233.25M,13/06
,Adobe,458.74,462.39,453.50,-1.13,-0.25%,7.75M,13/06
,Broadcom,"1,678.52","1,735.85","1,652.52",+183.01,+12.24%,8.88M,13/06
,Microsoft,441.58,443.39,439.37,+0.52,+0.12%,15.86M,13/06
,Apple,214.13,216.75,211.60,+1.06,+0.50%,85.22M,13/06
,Amazon.com,183.83,187.67,182.67,-3.06,-1.64%,39.6M,13/06
,AMD,159.90,162.66,157.31,-0.34,-0.21%,41.32M,13/06
,Alibaba ADR,75.68,76.97,75.49,-2.36,-3.02%,13.97M,13/06
,Super Micro Computer,871.10,883.17,784.00,+96.36,+12.44%,11.52M,13/06
,Meta Platforms,504.10,509.36,501.36,-4.74,-0.93%,9.35M,13/06
,GameStop Corp,29.12,29.58,25.56,+3.66,+14.38%,97.9M,13/06
,Taiwan Semiconductor,172.91,174.07,170.51,-0.07,-0.04%,15.55M,13/06
,Micron,143.14,144.22,140.26,+2.39,+1.70%,15.36M,13/06
,Alphabet A,175.16,176.74,174.88,-2.63,-1.48%,19.85M,13/06
,Intel,30.46,30.58,30.14,-0.30,-0.98%,33.71M,13/06
,Nio A ADR,4.410,4.610,4.410,-0.040,-0.90%,27.03M,13/06
,Palantir,23.27,24.14,23.15,-0.50,-2.10%,25.73M,13/06
,Arm,158.05,161.49,150.67,+2.46,+1.58%,15.32M,13/06
,Qualcomm,217.81,218.36,213.01,+2.42,+1.12%,9.98M,13/06
,Salesforce Inc,229.03,235.65,228.66,-6.77,-2.87%,13.06M,13/06
,AMC Entertainment,5.200,5.385,4.940,+0.290,+5.91%,33.04M,13/06
,MicroStrategy,"1,483.88","1,573.76","1,441.01",-119.79,-7.47%,2.07M,13/06
,PayPal,61.54,63.61,61.54,-1.89,-2.98%,11.95M,13/06
,Oracle,139.85,142.40,138.77,-0.53,-0.38%,13.69M,13/06
,Coinbase Global,247.64,257.13,243.26,-7.32,-2.87%,8.65M,13/06
,Boeing,180.70,183.87,179.00,-1.97,-1.08%,4.19M,13/06
,Lucid Group,2.540,2.690,2.500,-0.105,-3.97%,26.15M,13/06
,Walt Disney,100.09,101.07,99.61,-0.71,-0.70%,10.15M,13/06
,Snowflake,125.90,129.91,125.88,-4.43,-3.40%,8.75M,13/06
